TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T00059,2023-10-03,Mobile,Electronics,West,Online,7,39563,276941,UPI,C02068
T00060,2024-10-08,Headphones,Electronics,East,Offline,3,77986,233958,UPI,C01022
T00061,2024-08-21,Mobile,Accessories,South,Online,5,38828,194140,Credit Card,C00276
T00062,2024-03-22,Headphones,Electronics,North,Offline,1,38821,38821,UPI,C01219
T00063,2023-12-26,Headphones,Accessories,West,Offline,1,64115,64115,Credit Card,C00494
T00064,2023-05-03,Monitor,Electronics,South,Online,2,51938,103876,Net Banking,C00744
T00065,2023-04-17,Printer,Accessories,South,Offline,5,78366,391830,Net Banking,C02178
T00066,2024-05-01,Laptop,Accessories,South,Online,1,33652,33652,Credit Card,C02056
T00067,2024-06-12,Keyboard,Electronics,South,Offline,9,21933,197397,UPI,C01837
T00068,2024-10-06,Printer,Accessories,South,Online,8,50653,405224,Cash,C00923
T00069,2023-02-11,Tablet,Accessories,North,Online,5,75628,378140,Cash,C01624
T00070,2023-07-26,Laptop,Accessories,North,Online,4,52742,210968,UPI,C01134
T00071,2024-09-19,Headphones,Accessories,South,Offline,10,44158,441580,Credit Card,C01541
T00072,2023-09-01,Headphones,Electronics,North,Online,3,54325,162975,Net Banking,C00234
T00073,2023-11-30,Headphones,Accessories,South,Offline,6,34181,205086,UPI,C01250
T00074,2023-02-17,Laptop,Accessories,North,Online,4,7621,30484,Net Banking,C01280
T00075,2024-07-01,Keyboard,Electronics,South,Offline,10,9880,98800,Cash,C00654
T00076,2023-08-22,Keyboard,Accessories,North,Online,1,71709,71709,Credit Card,C00450
T00077,2024-06-19,Laptop,Electronics,West,Offline,5,71647,358235,UPI,C01744
T00078,2023-03-31,Laptop,Electronics,South,Offline,3,56477,169431,UPI,C02230
T00079,2023-08-23,Monitor,Accessories,East,Online,7,9042,63294,UPI,C02467
T00080,2023-08-02,Mouse,Electronics,North,Offline,4,36032,144128,Cash,C00691
T00081,2023-04-14,Headphones,Accessories,South,Offline,10,70673,706730,UPI,C02448
T00082,2024-04-29,Headphones,Electronics,North,Online,5,71938,359690,UPI,C02055
T00083,2024-08-28,Monitor,Accessories,East,Offline,2,2230,4460,Net Banking,C00543
T00084,2024-05-10,Keyboard,Accessories,East,Online,2,16874,33748,UPI,C00925
T00085,2024-08-05,Mouse,Electronics,North,Online,2,37840,75680,Net Banking,C00360
T00086,2024-01-12,Headphones,Electronics,North,Online,9,64826,583434,UPI,C01669
T00087,2024-09-06,Headphones,Electronics,West,Online,8,41456,331648,UPI,C02659
T00088,2024-03-23,Printer,Accessories,North,Online,7,19124,133868,Net Banking,C01646
T00089,2023-11-27,Tablet,Electronics,North,Online,2,48817,97634,UPI,C02783
T00090,2024-01-31,Laptop,Electronics,West,Offline,9,17481,157329,Cash,C00316
T00091,2024-04-06,Headphones,Accessories,South,Online,1,61763,61763,UPI,C02892
T00092,2024-03-20,Mouse,Electronics,North,Offline,2,64817,129634,Cash,C00181
T00093,2024-01-08,Mouse,Electronics,North,Online,3,36656,109968,Credit Card,C01664
T00094,2024-01-09,Mobile,Electronics,East,Offline,4,9158,36632,Net Banking,C00743
T00095,2024-03-03,Monitor,Electronics,South,Offline,4,22572,90288,Cash,C00410
T00096,2024-07-01,Mouse,Electronics,West,Online,9,64183,577647,Credit Card,C01819
T00097,2024-03-02,Headphones,Accessories,East,Online,2,7991,15982,Net Banking,C01791
T00098,2023-02-04,Monitor,Electronics,South,Offline,3,25336,76008,Credit Card,C01371
T00099,2023-10-16,Keyboard,Electronics,East,Offline,3,78573,235719,Cash,C00248
T00100,2024-03-19,Keyboard,Electronics,East,Online,9,24152,217368,UPI,C01296
T00101,2024-11-27,Mouse,Electronics,East,Online,3,73495,220485,Credit Card,C01949
T00102,2023-10-30,Tablet,Accessories,South,Offline,2,42977,85954,Net Banking,C02866
T00103,2024-01-04,Headphones,Accessories,West,Offline,6,37203,223218,Cash,C00859
T00104,2023-08-05,Tablet,Accessories,East,Online,7,27698,193886,UPI,C01251
T00105,2024-10-01,Tablet,Accessories,North,Online,6,12492,74952,Cash,C01572
T00106,2023-12-26,Mouse,Accessories,East,Offline,10,2047,20470,Credit Card,C01180
T00107,2024-02-02,Headphones,Electronics,East,Online,2,40936,81872,Cash,C02805
T00108,2024-11-07,Mouse,Electronics,West,Offline,9,57657,518913,UPI,C01891
T00109,2023-10-25,Keyboard,Accessories,South,Offline,7,79135,553945,Cash,C00357
T00110,2024-12-08,Keyboard,Electronics,West,Online,4,10354,41416,Cash,C02459
T00111,2023-10-21,Mobile,Electronics,West,Online,1,24168,24168,UPI,C01036
T00112,2023-04-08,Mouse,Accessories,East,Offline,2,8281,16562,Credit Card,C01158
T00113,2024-09-13,Mobile,Accessories,West,Online,2,16335,32670,Cash,C00376
T00114,2023-03-15,Printer,Electronics,South,Online,3,6506,19518,Net Banking,C02875
T00115,2023-09-26,Mobile,Electronics,East,Offline,9,59322,533898,UPI,C00054
T00116,2023-08-29,Mobile,Accessories,North,Online,3,13643,40929,Cash,C02674
T00117,2024-12-09,Printer,Accessories,South,Online,4,51685,206740,Credit Card,C00609
T00118,2023-01-07,Mouse,Electronics,West,Online,8,72549,580392,Net Banking,C00265
T00119,2024-06-04,Headphones,Accessories,East,Offline,4,23248,92992,Cash,C01301
T00120,2023-10-24,Mouse,Accessories,East,Offline,7,71920,503440,Cash,C00885
T00121,2023-05-07,Mobile,Electronics,North,Online,5,3064,15320,Cash,C02404
T00122,2023-07-05,Monitor,Electronics,East,Offline,5,19106,95530,Net Banking,C02198
T00123,2024-02-13,Headphones,Electronics,South,Online,3,32028,96084,Net Banking,C00376
T00124,2024-06-10,Printer,Electronics,East,Online,1,59466,59466,UPI,C00230
T00125,2023-03-22,Keyboard,Electronics,North,Online,7,44158,309106,Cash,C00937
T00126,2023-08-12,Mobile,Accessories,South,Online,2,25863,51726,UPI,C00805
T00127,2023-08-27,Mobile,Accessories,East,Online,7,43178,302246,Net Banking,C02408
T00128,2023-05-20,Laptop,Accessories,South,Offline,10,67712,677120,Cash,C01268
T00129,2023-03-19,Mobile,Accessories,North,Offline,3,51221,153663,UPI,C01324
T00130,2024-09-04,Tablet,Electronics,South,Offline,3,69829,209487,UPI,C00308
T00131,2023-02-21,Mouse,Accessories,South,Online,2,27791,55582,UPI,C02315
T00132,2023-06-26,Printer,Electronics,West,Online,4,19376,77504,Net Banking,C00904
T00133,2023-05-21,Mobile,Electronics,East,Offline,8,27327,218616,Net Banking,C00316
T00134,2023-03-01,Mobile,Accessories,East,Online,9,74908,674172,Credit Card,C00553
T00135,2024-01-18,Monitor,Accessories,South,Online,5,77996,389980,Cash,C01150
T00136,2023-12-29,Printer,Accessories,South,Offline,2,78385,156770,Net Banking,C00891
T00137,2024-08-10,Headphones,Electronics,North,Online,1,24113,24113,UPI,C00498
T00138,2024-02-10,Laptop,Electronics,East,Offline,1,5750,5750,Net Banking,C00839
T00139,2023-10-21,Monitor,Electronics,West,Offline,5,20378,101890,Net Banking,C00326
T00140,2024-11-06,Mobile,Accessories,North,Online,9,28500,256500,UPI,C00899
T00141,2023-05-19,Tablet,Electronics,North,Online,6,9098,54588,Cash,C01229
T00142,2023-03-30,Headphones,Electronics,East,Offline,5,3237,16185,Cash,C01725
T00143,2024-02-01,Monitor,Electronics,North,Online,9,29357,264213,Cash,C02890
T00144,2024-10-28,Mouse,Electronics,South,Offline,9,19832,178488,Credit Card,C00720
T00145,2024-05-14,Tablet,Electronics,East,Online,9,42702,384318,Cash,C02050
T00146,2024-04-03,Mobile,Electronics,West,Online,5,7628,38140,UPI,C01165
T00147,2023-12-02,Laptop,Electronics,South,Offline,2,61547,123094,Cash,C01333
T00148,2023-03-24,Monitor,Electronics,East,Online,4,78847,315388,Credit Card,C01567
T00149,2024-11-19,Laptop,Accessories,North,Offline,7,34559,241913,Cash,C02077
T00150,2023-02-14,Mobile,Accessories,North,Online,5,20172,100860,UPI,C02710
T00151,2024-08-29,Laptop,Electronics,North,Online,5,32547,162735,UPI,C01235
T00152,2023-02-08,Headphones,Electronics,East,Offline,10,71829,718290,Cash,C00836
T00153,2024-07-10,Tablet,Accessories,East,Online,9,25621,230589,Credit Card,C02481
T00154,2024-04-14,Tablet,Electronics,West,Online,4,2592,10368,UPI,C02947
T00155,2024-11-30,Headphones,Accessories,East,Online,9,68574,617166,Cash,C01669
T00156,2024-11-07,Mobile,Accessories,East,Offline,7,5776,40432,Credit Card,C02369
T00157,2024-05-13,Printer,Accessories,South,Online,6,30087,180522,UPI,C02440
T00158,2024-10-19,Laptop,Electronics,South,Online,6,23965,143790,Credit Card,C02837
T00159,2024-01-13,Laptop,Electronics,East,Online,6,65033,390198,Net Banking,C02969
T00160,2023-07-08,Monitor,Electronics,North,Online,6,32809,196854,Credit Card,C00099
T00161,2023-08-12,Mouse,Electronics,South,Online,8,69174,553392,UPI,C00691
T00162,2023-04-01,Monitor,Electronics,North,Offline,7,46559,325913,Cash,C01311
T00163,2024-04-22,Keyboard,Electronics,East,Offline,1,46997,46997,Net Banking,C01738
T00164,2024-09-26,Mouse,Electronics,East,Online,10,17285,172850,Cash,C02969
T00165,2024-08-16,Mouse,Accessories,North,Offline,6,63547,381282,Net Banking,C01859
T00166,2024-11-23,Keyboard,Electronics,North,Online,2,65676,131352,Credit Card,C01741
T00167,2023-07-07,Tablet,Electronics,West,Offline,9,32146,289314,UPI,C00281
T00168,2024-12-27,Tablet,Electronics,North,Online,4,21168,84672,Credit Card,C01680
T00169,2024-10-12,Printer,Accessories,West,Offline,2,61776,123552,Credit Card,C01823
T00170,2023-11-12,Tablet,Accessories,East,Offline,10,57679,576790,Cash,C00046
T00171,2024-03-22,Headphones,Accessories,West,Offline,6,75405,452430,UPI,C02569
T00172,2023-12-23,Laptop,Accessories,East,Online,5,11061,55305,Cash,C01453
T00173,2024-12-14,Keyboard,Electronics,East,Offline,5,4826,24130,Cash,C01646
T00174,2023-03-11,Mouse,Electronics,South,Offline,7,31120,217840,UPI,C00828
T00175,2023-08-12,Tablet,Electronics,West,Offline,5,65310,326550,UPI,C01491
T00176,2023-03-08,Mouse,Electronics,East,Offline,4,9020,36080,UPI,C01290
T00177,2023-10-09,Printer,Accessories,East,Online,1,43864,43864,Net Banking,C01793
T00178,2024-05-23,Tablet,Accessories,South,Offline,5,62705,313525,Credit Card,C01539
T00179,2023-04-22,Laptop,Accessories,South,Offline,1,37148,37148,UPI,C01713
T00180,2024-12-17,Monitor,Electronics,South,Online,7,7109,49763,Credit Card,C00641
T00181,2023-11-22,Monitor,Electronics,East,Offline,9,15376,138384,Cash,C00457
T00182,2023-12-24,Laptop,Electronics,East,Offline,5,38928,194640,Credit Card,C01566
T00183,2024-02-27,Mouse,Accessories,South,Online,10,15175,151750,Net Banking,C01603
T00184,2024-10-24,Printer,Electronics,South,Online,4,1323,5292,Credit Card,C01884
T00185,2024-02-05,Mouse,Accessories,East,Offline,8,44849,358792,UPI,C02419
T00186,2023-02-10,Tablet,Electronics,North,Online,10,77603,776030,Net Banking,C00867
T00187,2024-08-12,Headphones,Accessories,East,Offline,3,77925,233775,Cash,C00765
T00188,2024-06-28,Mobile,Electronics,East,Offline,9,32560,293040,Net Banking,C01599
T00189,2024-09-09,Keyboard,Electronics,North,Offline,6,77832,466992,Net Banking,C02308
T00190,2023-11-29,Mobile,Electronics,South,Online,4,44234,176936,UPI,C00048
T00191,2023-11-03,Mobile,Electronics,East,Offline,7,51217,358519,Net Banking,C00961
T00192,2024-07-21,Tablet,Electronics,East,Offline,10,7123,71230,Cash,C01056
T00193,2024-03-01,Mobile,Accessories,North,Online,8,42971,343768,Credit Card,C01285
T00194,2024-08-23,Headphones,Accessories,North,Offline,5,16590,82950,Cash,C00048
T00195,2024-01-20,Mobile,Electronics,West,Offline,3,641,1923,UPI,C02466
T00196,2023-07-13,Mobile,Electronics,West,Offline,8,65216,521728,Net Banking,C02037
T00197,2023-01-08,Printer,Electronics,South,Offline,8,29367,234936,Cash,C02288
T00198,2024-06-07,Monitor,Accessories,West,Online,10,78755,787550,Credit Card,C00951
T00199,2023-11-08,Monitor,Accessories,East,Offline,2,71891,143782,UPI,C01353
T00200,2023-05-19,Mobile,Accessories,South,Offline,8,73326,586608,Credit Card,C01010
T00201,2024-06-06,Keyboard,Electronics,North,Online,4,44038,176152,Credit Card,C00126
T00202,2024-05-15,Mobile,Electronics,East,Online,4,2524,10096,UPI,C02346
T00203,2024-04-03,Headphones,Electronics,North,Online,7,77891,545237,Net Banking,C02886
T00204,2023-07-05,Keyboard,Accessories,South,Offline,2,15711,31422,UPI,C01550
T00205,2024-02-22,Laptop,Electronics,North,Offline,4,63130,252520,Credit Card,C01176
T00206,2023-05-28,Keyboard,Electronics,West,Online,5,40618,203090,Credit Card,C01729
T00207,2024-11-11,Monitor,Electronics,East,Offline,6,59873,359238,Net Banking,C01080
T00208,2023-04-24,Laptop,Accessories,East,Offline,10,29630,296300,Credit Card,C01019
T00209,2024-01-19,Tablet,Accessories,West,Online,9,14098,126882,UPI,C01883
T00210,2023-09-30,Keyboard,Accessories,North,Online,5,58942,294710,Net Banking,C02725
T00211,2024-07-12,Tablet,Electronics,West,Online,1,31935,31935,Cash,C00570
T00212,2024-02-28,Printer,Accessories,West,Offline,8,13478,107824,Credit Card,C01314
T00213,2023-12-22,Mobile,Electronics,East,Online,4,46734,186936,Cash,C00670
T00214,2023-03-17,Tablet,Accessories,East,Online,10,53072,530720,Net Banking,C02448
T00215,2023-03-19,Keyboard,Electronics,West,Offline,8,5978,47824,Credit Card,C02999
T00216,2024-10-15,Tablet,Electronics,West,Offline,9,70507,634563,UPI,C00550
T00217,2023-01-25,Keyboard,Accessories,West,Online,3,59976,179928,Cash,C02580
T00218,2023-03-17,Headphones,Electronics,North,Offline,4,15606,62424,Net Banking,C00290
T00219,2024-03-17,Laptop,Accessories,West,Offline,8,29671,237368,UPI,C02959
T00220,2023-07-28,Laptop,Electronics,North,Online,8,45719,365752,UPI,C02006
T00221,2023-06-23,Laptop,Accessories,South,Offline,7,17160,120120,Cash,C01678
T00222,2024-08-03,Monitor,Electronics,North,Offline,9,34379,309411,Net Banking,C00816
T00223,2023-06-30,Mobile,Accessories,North,Offline,3,28609,85827,UPI,C02746
T00224,2024-01-17,Tablet,Accessories,West,Offline,6,27510,165060,Net Banking,C00001
T00225,2024-05-02,Printer,Electronics,East,Offline,9,17907,161163,Net Banking,C01951
T00226,2023-04-14,Mouse,Accessories,East,Online,4,38330,153320,Credit Card,C00386
T00227,2024-08-16,Mobile,Accessories,North,Offline,8,24050,192400,Credit Card,C02304
T00228,2023-04-16,Headphones,Accessories,East,Offline,7,73033,511231,UPI,C00954
T00229,2024-12-10,Mobile,Electronics,East,Online,6,26343,158058,UPI,C00110
T00230,2023-07-29,Keyboard,Electronics,West,Offline,9,8020,72180,UPI,C00021
T00231,2023-05-15,Tablet,Electronics,South,Offline,9,29378,264402,UPI,C00789
T00232,2023-05-09,Keyboard,Accessories,North,Online,4,73622,294488,Cash,C01249
T00233,2023-06-01,Mouse,Electronics,East,Offline,10,37929,379290,Net Banking,C01767
T00234,2023-12-13,Headphones,Accessories,West,Online,7,12851,89957,UPI,C01512
T00235,2024-11-14,Monitor,Electronics,South,Offline,10,19292,192920,Credit Card,C00777
T00236,2023-01-05,Keyboard,Accessories,East,Online,8,75051,600408,Net Banking,C00803
T00237,2024-05-22,Laptop,Accessories,West,Online,6,73857,443142,Net Banking,C02805
T00238,2023-11-11,Mobile,Electronics,North,Offline,6,49932,299592,Net Banking,C02864
T00239,2023-01-06,Keyboard,Accessories,South,Offline,4,20871,83484,Credit Card,C00645
T00240,2024-02-02,Tablet,Accessories,North,Online,2,7686,15372,Net Banking,C02404
T00241,2024-10-06,Printer,Electronics,West,Online,3,25659,76977,UPI,C00993
T00242,2024-07-27,Laptop,Electronics,West,Offline,10,77890,778900,Cash,C02524
T00243,2023-11-21,Monitor,Accessories,South,Offline,6,71805,430830,Net Banking,C00932
T00244,2024-03-23,Monitor,Electronics,West,Online,6,45032,270192,UPI,C02410
T00245,2023-11-10,Keyboard,Electronics,North,Offline,7,36185,253295,Cash,C02961
T00246,2024-09-21,Keyboard,Electronics,East,Offline,5,12152,60760,Net Banking,C02822
T00247,2024-11-04,Mobile,Electronics,South,Online,3,36834,110502,Net Banking,C01506
T00248,2024-04-15,Tablet,Electronics,South,Offline,4,60386,241544,Cash,C00385
T00249,2023-08-04,Printer,Accessories,North,Offline,8,8410,67280,UPI,C02925
T00250,2024-11-04,Keyboard,Accessories,East,Online,10,39467,394670,UPI,C02687
T00251,2024-01-10,Monitor,Accessories,North,Online,4,17328,69312,UPI,C00987
T00252,2023-07-20,Mobile,Electronics,West,Online,7,53493,374451,UPI,C00867
T00253,2024-08-14,Laptop,Electronics,West,Offline,5,74642,373210,Cash,C00985
T00254,2023-10-20,Headphones,Accessories,West,Offline,3,54144,162432,Net Banking,C02949
T00255,2023-02-22,Printer,Electronics,West,Online,5,61769,308845,Net Banking,C02023
T00256,2024-04-28,Keyboard,Accessories,West,Offline,9,5791,52119,Net Banking,C02447
T00257,2023-01-06,Mouse,Electronics,South,Offline,2,7413,14826,UPI,C02383
T00258,2023-03-28,Keyboard,Accessories,South,Online,9,75728,681552,Cash,C00883
T00259,2024-01-21,Laptop,Electronics,West,Offline,6,77053,462318,Cash,C00841
T00260,2023-05-02,Mobile,Electronics,West,Online,6,54772,328632,UPI,C02994
T00261,2023-08-28,Keyboard,Accessories,North,Offline,5,67320,336600,UPI,C01682
T00262,2023-08-17,Keyboard,Electronics,West,Online,1,79628,79628,Net Banking,C00595
T00263,2023-11-21,Laptop,Accessories,West,Offline,4,43138,172552,Credit Card,C02154
T00264,2023-11-18,Printer,Accessories,West,Offline,8,50344,402752,Cash,C02227
T00265,2023-08-16,Monitor,Electronics,North,Online,2,46774,93548,Credit Card,C02002
T00266,2024-06-06,Keyboard,Accessories,West,Offline,3,26327,78981,Credit Card,C00556
T00267,2023-03-28,Mouse,Electronics,North,Offline,8,78242,625936,Cash,C02402
T00268,2024-10-27,Mobile,Electronics,East,Online,2,75041,150082,Net Banking,C00187
T00269,2023-08-18,Mobile,Electronics,West,Online,8,1402,11216,Credit Card,C00296
T00270,2024-08-31,Laptop,Electronics,West,Online,1,34154,34154,Credit Card,C01501
T00271,2024-06-25,Mobile,Electronics,East,Online,7,28905,202335,Cash,C00893
T00272,2024-09-07,Mobile,Accessories,East,Online,8,28170,225360,Credit Card,C02886
T00273,2024-07-23,Headphones,Accessories,North,Offline,8,33730,269840,Cash,C02167
T00274,2024-01-30,Keyboard,Electronics,West,Offline,5,48183,240915,Net Banking,C01010
T00275,2024-12-04,Tablet,Accessories,West,Offline,9,60752,546768,UPI,C00121
T00276,2024-08-01,Mobile,Electronics,East,Online,8,73012,584096,Cash,C02845
T00277,2023-11-15,Mouse,Electronics,North,Offline,1,35330,35330,Cash,C02443
T00278,2024-10-06,Tablet,Electronics,North,Offline,3,792,2376,Cash,C00296
T00279,2023-08-31,Printer,Electronics,West,Offline,2,52888,105776,UPI,C02763
T00280,2023-12-14,Printer,Accessories,North,Offline,6,54990,329940,Credit Card,C00519
T00281,2024-08-27,Headphones,Electronics,South,Offline,2,15474,30948,Cash,C00609
T00282,2023-02-19,Keyboard,Electronics,West,Offline,8,59528,476224,Net Banking,C01462
T00283,2024-04-15,Printer,Accessories,North,Offline,9,66615,599535,Cash,C00564
T00284,2023-11-16,Tablet,Accessories,East,Online,5,60431,302155,Net Banking,C00416
T00285,2023-06-01,Printer,Accessories,West,Offline,3,73149,219447,Net Banking,C02313
T00286,2023-09-23,Laptop,Accessories,West,Offline,2,8222,16444,Cash,C00308
T00287,2023-05-29,Keyboard,Accessories,South,Online,10,1075,10750,Cash,C02829
T00288,2024-06-30,Headphones,Accessories,North,Online,4,32785,131140,UPI,C01345
T00289,2023-12-16,Keyboard,Electronics,East,Online,10,78769,787690,Cash,C00234
T00290,2023-05-16,Keyboard,Electronics,North,Offline,8,57545,460360,Cash,C01589
T00291,2024-11-06,Tablet,Accessories,South,Offline,4,73787,295148,UPI,C00170
T00292,2023-08-06,Tablet,Accessories,North,Online,9,26596,239364,Cash,C01975
T00293,2023-01-05,Keyboard,Accessories,West,Online,8,39797,318376,Net Banking,C00172
T00294,2024-10-03,Mobile,Accessories,South,Online,2,56072,112144,Net Banking,C02548
T00295,2024-06-05,Headphones,Electronics,West,Online,1,23559,23559,Net Banking,C01837
T00296,2023-01-08,Mouse,Electronics,North,Online,4,62042,248168,Credit Card,C01288
T00297,2023-01-24,Tablet,Electronics,South,Offline,8,69306,554448,Cash,C02555
T00298,2023-06-05,Printer,Electronics,North,Offline,4,44192,176768,Net Banking,C02222
T00299,2024-03-03,Headphones,Electronics,West,Offline,7,7530,52710,UPI,C01924
T00300,2023-05-02,Monitor,Accessories,South,Offline,6,76441,458646,Cash,C00979
T00301,2024-02-21,Monitor,Accessories,West,Online,10,1162,11620,Cash,C00931
T00302,2023-09-17,Monitor,Accessories,West,Online,5,27882,139410,Credit Card,C01278
T00303,2024-12-29,Tablet,Electronics,North,Online,10,39111,391110,Net Banking,C00691
T00304,2024-02-08,Keyboard,Accessories,West,Online,2,46467,92934,Cash,C00076
T00305,2024-08-24,Printer,Electronics,East,Online,9,76744,690696,Credit Card,C00276
T00306,2023-06-16,Mouse,Accessories,West,Online,1,11714,11714,Credit Card,C02109
T00307,2024-01-26,Printer,Electronics,East,Offline,10,76303,763030,Net Banking,C00344
T00308,2023-03-30,Printer,Electronics,East,Offline,6,51330,307980,Net Banking,C01223
T00309,2024-08-16,Mobile,Electronics,South,Offline,6,76648,459888,Cash,C02039
T00310,2023-11-05,Mouse,Accessories,South,Offline,2,43943,87886,UPI,C02835
T00311,2024-04-16,Headphones,Electronics,North,Offline,6,28140,168840,Cash,C02314
T00312,2023-01-03,Headphones,Electronics,North,Online,2,24063,48126,Cash,C02623
T00313,2023-08-13,Mobile,Electronics,East,Online,3,65258,195774,Net Banking,C00174
T00314,2023-08-20,Printer,Accessories,East,Offline,7,47013,329091,Cash,C02083
T00315,2023-05-24,Printer,Electronics,West,Online,10,5875,58750,Net Banking,C00406
T00316,2023-02-19,Mobile,Accessories,West,Online,10,37806,378060,UPI,C01014
T00317,2024-07-20,Laptop,Electronics,East,Offline,4,65506,262024,Credit Card,C02570
T00318,2023-08-21,Printer,Accessories,North,Offline,6,65210,391260,Net Banking,C02362
T00319,2023-04-10,Tablet,Accessories,West,Online,9,67700,609300,Cash,C00834
